date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1994-02-17,310.50195,106.96428571428572,68.45714285714286,309.45312,312.85547,317.9297,324.89062,337.11133,303.0332,381.39648,310.2721354166667,313.98660714285717,324.2396763392857
1994-02-18,316.4043,120.19642857142857,76.92571428571429,310.50195,310.86133,315.14062,321.16406,339.38477,306.03125,364.2246,312.1197916666667,313.306640625,322.5982142857143
1994-02-19,328.0039,133.42857142857144,85.39428571428572,316.4043,309.45312,312.85547,317.9297,340.1953,310.5703,347.03125,318.3033854166667,314.74581473214283,321.72739955357144
1994-02-20,342.19922,146.66071428571428,93.86285714285714,328.0039,310.50195,310.86133,315.14062,339.10352,316.8711,330.94336,328.869140625,318.611328125,321.94852120535717
1994-02-21,356.08594,159.89285714285714,102.33142857142857,342.19922,316.4043,309.45312,312.85547,336.40234,323.8379,317.34766,342.0963541666667,324.787109375,323.3544921875
1994-02-22,372.0371,173.125,110.8,356.08594,328.0039,310.50195,310.86133,332.70312,329.80664,307.56055,356.7740885416667,333.52650669642856,326.1640625
1994-02-23,390.31445,186.35714285714286,119.26857142857142,372.0371,342.19922,316.4043,309.45312,328.76953,333.98633,302.07422,372.8125,345.078125,330.5601283482143
1994-02-24,402.3457,199.58928571428572,127.73714285714286,390.31445,356.08594,328.0039,310.50195,324.89062,337.11133,300.35938,388.232421875,358.1986607142857,336.09263392857144
1994-02-25,402.83203,212.82142857142858,136.2057142857143,402.3457,372.0371,342.19922,316.4043,321.16406,339.38477,301.0586,398.4973958333333,370.5454799107143,341.92606026785717
1994-02-26,394.89648,226.05357142857144,144.6742857142857,402.83203,390.31445,356.08594,328.0039,317.9297,340.1953,303.0332,400.0247395833333,380.1015625,347.42368861607144
1994-02-27,382.83398,239.28571428571428,153.14285714285714,394.89648,402.3457,372.0371,342.19922,315.14062,339.10352,306.03125,393.5208333333333,385.90652901785717,352.25892857142856
1994-02-28,369.4453,252.51785714285714,161.61142857142858,382.83398,402.83203,390.31445,356.08594,312.85547,336.40234,310.5703,382.3919270833333,387.8150111607143,356.30106026785717
1994-03-01,356.29492,265.75,170.07999999999998,369.4453,394.89648,402.3457,372.0371,310.86133,332.70312,316.8711,369.5247395833333,385.56612723214283,359.5463169642857
1994-03-02,343.60156,278.9821428571429,178.54857142857142,356.29492,382.83398,402.83203,390.31445,309.45312,328.76953,323.8379,356.447265625,378.89285714285717,361.98549107142856
1994-03-03,331.6875,292.2142857142857,187.01714285714286,343.60156,369.4453,394.89648,402.3457,310.50195,324.89062,329.80664,343.861328125,368.798828125,363.49874441964283
1994-03-04,320.85938,305.44642857142856,195.4857142857143,331.6875,356.29492,382.83398,402.83203,316.4043,321.16406,333.98633,332.0494791666667,357.0884486607143,363.8169642857143
1994-03-05,311.12695,318.67857142857144,203.9542857142857,320.85938,343.60156,369.4453,394.89648,328.0039,317.9297,337.11133,321.224609375,345.12137276785717,362.61146763392856
1994-03-06,302.75977,331.91071428571433,212.42285714285714,311.12695,331.6875,356.29492,382.83398,342.19922,315.14062,339.38477,311.58203125,333.6821986607143,359.7943638392857
1994-03-07,295.77148,345.14285714285717,220.89142857142858,302.75977,320.85938,343.60156,369.4453,356.08594,312.85547,340.1953,303.2194010416667,323.15736607142856,355.48618861607144
1994-03-08,289.80273,358.375,229.35999999999999,295.77148,311.12695,331.6875,356.29492,372.0371,310.86133,339.10352,296.111328125,313.65848214285717,349.6123046875
