date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
2005-11-15,MyTho,10.36,106.36,14.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-12-15,MyTho,10.36,106.36,15.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-01-15,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-02-15,MyTho,10.36,106.36,15.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-03-15,MyTho,10.36,106.36,19.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-04-15,MyTho,10.36,106.36,26.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-05-15,MyTho,10.36,106.36,60.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-06-15,MyTho,10.36,106.36,20.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-07-15,MyTho,10.36,106.36,16.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-08-15,MyTho,10.36,106.36,11.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-09-15,MyTho,10.36,106.36,12.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-10-15,MyTho,10.36,106.36,10.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-11-15,MyTho,10.36,106.36,12.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2006-12-15,MyTho,10.36,106.36,14.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2007-01-15,MyTho,10.36,106.36,14.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2007-02-15,MyTho,10.36,106.36,16.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2007-03-15,MyTho,10.36,106.36,46.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2007-04-15,MyTho,10.36,106.36,168.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2007-05-15,MyTho,10.36,106.36,38.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2007-06-15,MyTho,10.36,106.36,21.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
